intern_id,feedback,satisfaction_rating,sentiment
INT-0373,"The tasks were manageable and the overall experience was normal. Overall, this was my experience.",3,Neutral
INT-0374,"I enjoyed the projects and gained useful practical skills. Overall, this was my experience.",4,Positive
INT-0375,The tasks were manageable and the overall experience was normal. I would like more opportunities like this.,3,Neutral
INT-0376,The company provided a positive learning environment. More regular meetings would be helpful.,4,Positive
INT-0377,I felt unsupported during most of the internship. I would like more opportunities like this.,1,Negative
INT-0378,The internship was excellent and I learned a lot from the team. I would recommend the internship.,4,Positive
INT-0379,The internship did not provide enough practical learning. More regular meetings would be helpful.,2,Negative
INT-0380,I enjoyed the projects and gained useful practical skills. I would recommend the internship.,4,Positive
INT-0381,Communication with the team was poor and frustrating.,1,Negative
INT-0382,The internship was okay and I completed the assigned tasks.,3,Neutral
INT-0383,The tasks were manageable and the overall experience was normal.,3,Neutral
INT-0384,The feedback from my supervisor helped me improve quickly.,4,Positive
INT-0385,Communication with the team was poor and frustrating. I would recommend the internship.,1,Negative
INT-0386,The learning opportunities were reasonable. I think the program can be improved.,3,Neutral
INT-0387,I felt unsupported during most of the internship. I would recommend the internship.,1,Negative
INT-0388,The team environment was friendly and motivating.,4,Positive
INT-0389,"I felt unsupported during most of the internship. Overall, this was my experience.",2,Negative
INT-0390,The team environment was friendly and motivating. More regular meetings would be helpful.,5,Positive
INT-0391,The internship was disappointing and I did not learn enough. I would recommend the internship.,2,Negative
INT-0392,The experience was average with both good and difficult moments. More regular meetings would be helpful.,3,Neutral
INT-0393,"The internship was okay and I completed the assigned tasks. Overall, this was my experience.",3,Neutral
INT-0394,My mentor was supportive and explained tasks clearly.,4,Positive
INT-0395,I was happy with the learning opportunities provided. I would recommend the internship.,4,Positive
INT-0396,"I received good guidance and felt confident completing my tasks. Overall, this was my experience.",5,Positive
INT-0397,The team was fine and the internship met basic expectations.,3,Neutral
INT-0398,"The internship gave me valuable real world experience. Overall, this was my experience.",5,Positive
INT-0399,I enjoyed the projects and gained useful practical skills. I would recommend the internship.,4,Positive
INT-0400,The internship was okay and I completed the assigned tasks.,3,Neutral
INT-0401,Communication with the team was poor and frustrating. I would like more opportunities like this.,2,Negative
INT-0402,The workload was stressful and the schedule was poorly organized. I think the program can be improved.,1,Negative
INT-0403,I received very little feedback about my work. More regular meetings would be helpful.,1,Negative
INT-0404,The experience was average with both good and difficult moments. I would recommend the internship.,3,Neutral
INT-0405,I completed my work and received some feedback from my mentor. I would recommend the internship.,3,Neutral
INT-0406,My mentor was unavailable and I did not receive enough guidance. I would like more opportunities like this.,2,Negative
INT-0407,I really enjoyed working with the team. More regular meetings would be helpful.,4,Positive
INT-0408,The internship was okay and I completed the assigned tasks. I would recommend the internship.,3,Neutral
INT-0409,Communication with the team was poor and frustrating. More regular meetings would be helpful.,1,Negative
INT-0410,The internship gave me valuable real world experience. I think the program can be improved.,5,Positive
INT-0411,The experience was average with both good and difficult moments. I would recommend the internship.,3,Neutral
INT-0412,There was confusion about responsibilities and deadlines. More regular meetings would be helpful.,1,Negative
INT-0413,"The communication with my mentor was clear and helpful. Overall, this was my experience.",5,Positive
INT-0414,The feedback from my supervisor helped me improve quickly. More regular meetings would be helpful.,5,Positive
INT-0415,The training was insufficient and I needed more help. I would recommend the internship.,2,Negative
INT-0416,There was confusion about responsibilities and deadlines. I would like more opportunities like this.,2,Negative
INT-0417,The team was fine and the internship met basic expectations. More regular meetings would be helpful.,3,Neutral
INT-0418,There was confusion about responsibilities and deadlines. I think the program can be improved.,1,Negative
INT-0419,The company provided a positive learning environment. I would recommend the internship.,5,Positive
INT-0420,There was confusion about responsibilities and deadlines. More regular meetings would be helpful.,1,Negative
INT-0421,My mentor was unavailable and I did not receive enough guidance. More regular meetings would be helpful.,1,Negative
INT-0422,The learning opportunities were reasonable. I would like more opportunities like this.,3,Neutral
INT-0423,The projects were repetitive and did not improve my skills. I would like more opportunities like this.,1,Negative
INT-0424,The training was insufficient and I needed more help. More regular meetings would be helpful.,1,Negative
INT-0425,The team was fine and the internship met basic expectations. More regular meetings would be helpful.,3,Neutral
INT-0426,My mentor was supportive and explained tasks clearly.,5,Positive
INT-0427,I really enjoyed working with the team. More regular meetings would be helpful.,5,Positive
INT-0428,"The learning opportunities were reasonable. Overall, this was my experience.",3,Neutral
INT-0429,I completed my work and received some feedback from my mentor. I think the program can be improved.,3,Neutral
INT-0430,The tasks were unclear and difficult to understand. More regular meetings would be helpful.,1,Negative
INT-0431,"The company provided a positive learning environment. Overall, this was my experience.",5,Positive
INT-0432,I really enjoyed working with the team. I would recommend the internship.,5,Positive
INT-0433,The projects were repetitive and did not improve my skills.,2,Negative
INT-0434,I enjoyed the projects and gained useful practical skills. More regular meetings would be helpful.,5,Positive
INT-0435,The feedback from my supervisor helped me improve quickly. More regular meetings would be helpful.,4,Positive
INT-0436,The communication with my mentor was clear and helpful. I would like more opportunities like this.,4,Positive
INT-0437,The projects were repetitive and did not improve my skills. I think the program can be improved.,2,Negative
INT-0438,"I really enjoyed working with the team. Overall, this was my experience.",4,Positive
INT-0439,The tasks were unclear and difficult to understand.,2,Negative
INT-0440,I really enjoyed working with the team. I would like more opportunities like this.,5,Positive
INT-0441,My mentor was supportive and explained tasks clearly. I would recommend the internship.,5,Positive
INT-0442,The team environment was friendly and motivating.,5,Positive
INT-0443,I really enjoyed working with the team. I think the program can be improved.,5,Positive
INT-0444,There was confusion about responsibilities and deadlines. I think the program can be improved.,2,Negative
INT-0445,I was happy with the learning opportunities provided. I think the program can be improved.,4,Positive
INT-0446,The tasks were interesting and helped me build my skills. I think the program can be improved.,5,Positive
INT-0447,I received very little feedback about my work. I would recommend the internship.,2,Negative
INT-0448,The tasks were interesting and helped me build my skills.,5,Positive
INT-0449,The training was insufficient and I needed more help.,1,Negative
INT-0450,The tasks were manageable and the overall experience was normal. I would like more opportunities like this.,3,Neutral
INT-0451,The projects were repetitive and did not improve my skills. More regular meetings would be helpful.,1,Negative
INT-0452,I was happy with the learning opportunities provided. I would like more opportunities like this.,5,Positive
INT-0453,The workload was acceptable for most of the internship.,3,Neutral
INT-0454,The workload was acceptable for most of the internship.,3,Neutral
INT-0455,The internship did not provide enough practical learning. I would like more opportunities like this.,2,Negative
INT-0456,There was confusion about responsibilities and deadlines. More regular meetings would be helpful.,2,Negative
INT-0457,I was happy with the learning opportunities provided. I think the program can be improved.,5,Positive
INT-0458,The team environment was friendly and motivating. I think the program can be improved.,4,Positive
INT-0459,The team environment was friendly and motivating. I think the program can be improved.,4,Positive
INT-0460,My experience was neither very good nor very bad. I think the program can be improved.,3,Neutral
INT-0461,I enjoyed the projects and gained useful practical skills. More regular meetings would be helpful.,4,Positive
INT-0462,My mentor was unavailable and I did not receive enough guidance. I would like more opportunities like this.,2,Negative
INT-0463,My mentor was unavailable and I did not receive enough guidance. I would recommend the internship.,2,Negative
INT-0464,I received good guidance and felt confident completing my tasks. I would like more opportunities like this.,5,Positive
INT-0465,I enjoyed the projects and gained useful practical skills. More regular meetings would be helpful.,4,Positive
INT-0466,I was unhappy with the lack of communication. I would like more opportunities like this.,2,Negative
INT-0467,The company provided a positive learning environment. I would recommend the internship.,5,Positive
INT-0468,The tasks were unclear and difficult to understand. More regular meetings would be helpful.,1,Negative
INT-0469,I was unhappy with the lack of communication. I would recommend the internship.,1,Negative
INT-0470,The team was fine and the internship met basic expectations. I would like more opportunities like this.,3,Neutral
INT-0471,I felt unsupported during most of the internship. I would like more opportunities like this.,2,Negative
INT-0472,I felt unsupported during most of the internship. I think the program can be improved.,2,Negative
INT-0473,The internship was okay and I completed the assigned tasks.,3,Neutral
INT-0474,"My mentor was unavailable and I did not receive enough guidance. Overall, this was my experience.",1,Negative
INT-0475,The learning opportunities were reasonable. I would like more opportunities like this.,3,Neutral
INT-0476,Communication with the team was poor and frustrating. More regular meetings would be helpful.,1,Negative
INT-0477,"The feedback from my supervisor helped me improve quickly. Overall, this was my experience.",5,Positive
INT-0478,"I received very little feedback about my work. Overall, this was my experience.",2,Negative
INT-0479,The workload was acceptable for most of the internship. More regular meetings would be helpful.,3,Neutral
INT-0480,"I enjoyed the projects and gained useful practical skills. Overall, this was my experience.",5,Positive
INT-0481,There was confusion about responsibilities and deadlines.,1,Negative
INT-0482,The internship gave me valuable real world experience.,5,Positive
INT-0483,My mentor was supportive and explained tasks clearly. I think the program can be improved.,4,Positive
INT-0484,The internship gave me valuable real world experience. I would like more opportunities like this.,4,Positive
INT-0485,"The internship was disappointing and I did not learn enough. Overall, this was my experience.",2,Negative
INT-0486,"The feedback from my supervisor helped me improve quickly. Overall, this was my experience.",5,Positive
INT-0487,The communication with my mentor was clear and helpful. I would recommend the internship.,4,Positive
INT-0488,"The tasks were manageable and the overall experience was normal. Overall, this was my experience.",3,Neutral
INT-0489,The workload was stressful and the schedule was poorly organized. I would recommend the internship.,2,Negative
INT-0490,"My mentor was supportive and explained tasks clearly. Overall, this was my experience.",5,Positive
INT-0491,The team environment was friendly and motivating. I would like more opportunities like this.,5,Positive
INT-0492,I felt unsupported during most of the internship. More regular meetings would be helpful.,2,Negative
INT-0493,The feedback from my supervisor helped me improve quickly. I think the program can be improved.,4,Positive
INT-0494,The tasks were unclear and difficult to understand. I would recommend the internship.,2,Negative
INT-0495,The feedback from my supervisor helped me improve quickly. I would recommend the internship.,4,Positive
INT-0496,The experience was average with both good and difficult moments. I would recommend the internship.,3,Neutral
INT-0497,I completed my work and received some feedback from my mentor.,3,Neutral
INT-0498,My mentor was unavailable and I did not receive enough guidance. More regular meetings would be helpful.,1,Negative
INT-0499,I enjoyed the projects and gained useful practical skills.,5,Positive
INT-0500,The workload was acceptable for most of the internship. More regular meetings would be helpful.,3,Neutral
INT-0501,I enjoyed the projects and gained useful practical skills. I think the program can be improved.,4,Positive
INT-0502,The team environment was friendly and motivating. I would recommend the internship.,5,Positive
INT-0503,"I felt unsupported during most of the internship. Overall, this was my experience.",1,Negative
INT-0504,The workload was stressful and the schedule was poorly organized. I think the program can be improved.,1,Negative
INT-0505,The internship was disappointing and I did not learn enough. More regular meetings would be helpful.,1,Negative
INT-0506,The team environment was friendly and motivating. I would like more opportunities like this.,4,Positive
INT-0507,My experience was neither very good nor very bad. More regular meetings would be helpful.,3,Neutral
INT-0508,The internship gave me valuable real world experience. I would like more opportunities like this.,5,Positive
INT-0509,My mentor was unavailable and I did not receive enough guidance. More regular meetings would be helpful.,1,Negative
INT-0510,I felt unsupported during most of the internship. I would recommend the internship.,2,Negative
INT-0511,The internship was excellent and I learned a lot from the team. I think the program can be improved.,4,Positive
INT-0512,I was unhappy with the lack of communication. I would like more opportunities like this.,2,Negative
INT-0513,The internship was okay and I completed the assigned tasks. More regular meetings would be helpful.,3,Neutral
INT-0514,I was unhappy with the lack of communication. More regular meetings would be helpful.,2,Negative
INT-0515,The internship was excellent and I learned a lot from the team. I think the program can be improved.,4,Positive
INT-0516,The team environment was friendly and motivating. I would recommend the internship.,5,Positive
INT-0517,I enjoyed the projects and gained useful practical skills. I would like more opportunities like this.,4,Positive
INT-0518,I felt unsupported during most of the internship. I would recommend the internship.,1,Negative
INT-0519,The experience was average with both good and difficult moments. I would like more opportunities like this.,3,Neutral
INT-0520,The team environment was friendly and motivating. I would recommend the internship.,4,Positive
INT-0521,The feedback from my supervisor helped me improve quickly.,4,Positive
INT-0522,I was happy with the learning opportunities provided.,5,Positive
INT-0523,The learning opportunities were reasonable. I would recommend the internship.,3,Neutral
INT-0524,The internship was excellent and I learned a lot from the team. More regular meetings would be helpful.,4,Positive
INT-0525,I was happy with the learning opportunities provided.,4,Positive
INT-0526,"My mentor was unavailable and I did not receive enough guidance. Overall, this was my experience.",2,Negative
INT-0527,The team was fine and the internship met basic expectations. More regular meetings would be helpful.,3,Neutral
INT-0528,The internship was excellent and I learned a lot from the team. I would like more opportunities like this.,4,Positive
INT-0529,The internship was okay and I completed the assigned tasks. I think the program can be improved.,3,Neutral
INT-0530,The workload was acceptable for most of the internship. I would like more opportunities like this.,3,Neutral
INT-0531,The tasks were manageable and the overall experience was normal. More regular meetings would be helpful.,3,Neutral
INT-0532,Communication with the team was poor and frustrating.,2,Negative
INT-0533,The feedback from my supervisor helped me improve quickly. I think the program can be improved.,5,Positive
INT-0534,I was happy with the learning opportunities provided. I would like more opportunities like this.,4,Positive
INT-0535,I enjoyed the projects and gained useful practical skills.,5,Positive
INT-0536,"I felt unsupported during most of the internship. Overall, this was my experience.",1,Negative
INT-0537,I received very little feedback about my work. I think the program can be improved.,2,Negative
INT-0538,My experience was neither very good nor very bad.,3,Neutral
INT-0539,The communication with my mentor was clear and helpful. I would like more opportunities like this.,4,Positive
INT-0540,The workload was stressful and the schedule was poorly organized. More regular meetings would be helpful.,1,Negative
INT-0541,I received very little feedback about my work. More regular meetings would be helpful.,2,Negative
INT-0542,The team environment was friendly and motivating. More regular meetings would be helpful.,4,Positive
INT-0543,The team environment was friendly and motivating. I think the program can be improved.,4,Positive
INT-0544,The tasks were interesting and helped me build my skills. I would like more opportunities like this.,5,Positive
INT-0545,There was confusion about responsibilities and deadlines. I think the program can be improved.,2,Negative
INT-0546,The tasks were manageable and the overall experience was normal.,3,Neutral
INT-0547,"The internship did not provide enough practical learning. Overall, this was my experience.",1,Negative
INT-0548,I was happy with the learning opportunities provided.,5,Positive
INT-0549,I completed my work and received some feedback from my mentor.,3,Neutral
INT-0550,The internship gave me valuable real world experience. I would recommend the internship.,5,Positive
INT-0551,I was unhappy with the lack of communication. I would recommend the internship.,2,Negative
INT-0552,The internship was disappointing and I did not learn enough.,1,Negative
INT-0553,The tasks were unclear and difficult to understand. More regular meetings would be helpful.,1,Negative
INT-0554,The internship was disappointing and I did not learn enough. I would like more opportunities like this.,2,Negative
INT-0555,The workload was acceptable for most of the internship. More regular meetings would be helpful.,3,Neutral
INT-0556,"The internship was disappointing and I did not learn enough. Overall, this was my experience.",1,Negative
INT-0557,My mentor was unavailable and I did not receive enough guidance. More regular meetings would be helpful.,1,Negative
INT-0558,The tasks were unclear and difficult to understand. I would recommend the internship.,2,Negative
INT-0559,The workload was acceptable for most of the internship.,3,Neutral
INT-0560,The tasks were unclear and difficult to understand.,2,Negative
INT-0561,My mentor was supportive and explained tasks clearly. More regular meetings would be helpful.,4,Positive
INT-0562,There was confusion about responsibilities and deadlines. I think the program can be improved.,1,Negative
INT-0563,The learning opportunities were reasonable. I think the program can be improved.,3,Neutral
INT-0564,The internship did not provide enough practical learning. I would recommend the internship.,1,Negative
INT-0565,"I received good guidance and felt confident completing my tasks. Overall, this was my experience.",5,Positive
INT-0566,The internship was okay and I completed the assigned tasks. I would like more opportunities like this.,3,Neutral
INT-0567,The tasks were interesting and helped me build my skills. I would recommend the internship.,5,Positive
INT-0568,The internship was disappointing and I did not learn enough. More regular meetings would be helpful.,2,Negative
INT-0569,I felt unsupported during most of the internship. I think the program can be improved.,1,Negative
INT-0570,The tasks were interesting and helped me build my skills. I think the program can be improved.,5,Positive
INT-0571,The internship gave me valuable real world experience.,4,Positive
INT-0572,The internship gave me valuable real world experience. I would recommend the internship.,4,Positive
INT-0573,I received good guidance and felt confident completing my tasks. I would like more opportunities like this.,4,Positive
INT-0574,The internship was okay and I completed the assigned tasks. I would like more opportunities like this.,3,Neutral
INT-0575,I completed my work and received some feedback from my mentor. More regular meetings would be helpful.,3,Neutral
INT-0576,The company provided a positive learning environment. I think the program can be improved.,5,Positive
INT-0577,The workload was acceptable for most of the internship. I think the program can be improved.,3,Neutral
INT-0578,My mentor was unavailable and I did not receive enough guidance. More regular meetings would be helpful.,1,Negative
INT-0579,The internship was disappointing and I did not learn enough.,1,Negative
INT-0580,The learning opportunities were reasonable. I would recommend the internship.,3,Neutral
INT-0581,I felt unsupported during most of the internship. I think the program can be improved.,1,Negative
INT-0582,I really enjoyed working with the team.,4,Positive
INT-0583,The workload was acceptable for most of the internship. I would recommend the internship.,3,Neutral
INT-0584,The internship was excellent and I learned a lot from the team.,5,Positive
INT-0585,My mentor was unavailable and I did not receive enough guidance.,1,Negative
INT-0586,"The projects were repetitive and did not improve my skills. Overall, this was my experience.",1,Negative
INT-0587,I received good guidance and felt confident completing my tasks.,4,Positive
INT-0588,The communication with my mentor was clear and helpful. I think the program can be improved.,4,Positive
INT-0589,The tasks were manageable and the overall experience was normal. I would like more opportunities like this.,3,Neutral
INT-0590,The internship was okay and I completed the assigned tasks. I would recommend the internship.,3,Neutral
INT-0591,The learning opportunities were reasonable. I would recommend the internship.,3,Neutral
INT-0592,The workload was acceptable for most of the internship. More regular meetings would be helpful.,3,Neutral
INT-0593,"The company provided a positive learning environment. Overall, this was my experience.",5,Positive
INT-0594,I received very little feedback about my work.,2,Negative
INT-0595,The workload was acceptable for most of the internship. More regular meetings would be helpful.,3,Neutral
INT-0596,The projects were repetitive and did not improve my skills. More regular meetings would be helpful.,1,Negative
INT-0597,The team environment was friendly and motivating. I would like more opportunities like this.,4,Positive
INT-0598,The feedback from my supervisor helped me improve quickly. I would recommend the internship.,5,Positive
INT-0599,The projects were repetitive and did not improve my skills. I would like more opportunities like this.,1,Negative
INT-0600,The internship did not provide enough practical learning. I would recommend the internship.,1,Negative
INT-0601,I really enjoyed working with the team. I would like more opportunities like this.,4,Positive
INT-0602,The company provided a positive learning environment. I think the program can be improved.,4,Positive
INT-0603,My experience was neither very good nor very bad.,3,Neutral
INT-0604,The internship gave me valuable real world experience. More regular meetings would be helpful.,4,Positive
INT-0605,My mentor was supportive and explained tasks clearly. I would like more opportunities like this.,4,Positive
INT-0606,I received very little feedback about my work. I would like more opportunities like this.,2,Negative
INT-0607,I felt unsupported during most of the internship. I would like more opportunities like this.,2,Negative
INT-0608,My experience was neither very good nor very bad. I think the program can be improved.,3,Neutral
INT-0609,The team was fine and the internship met basic expectations.,3,Neutral
INT-0610,My mentor was supportive and explained tasks clearly. More regular meetings would be helpful.,4,Positive
INT-0611,The tasks were unclear and difficult to understand.,2,Negative
INT-0612,The team environment was friendly and motivating. I would recommend the internship.,5,Positive
INT-0613,The internship gave me valuable real world experience. I would like more opportunities like this.,5,Positive
INT-0614,The tasks were unclear and difficult to understand. I would recommend the internship.,2,Negative
INT-0615,"I received good guidance and felt confident completing my tasks. Overall, this was my experience.",5,Positive
INT-0616,"The tasks were interesting and helped me build my skills. Overall, this was my experience.",5,Positive
INT-0617,I enjoyed the projects and gained useful practical skills. More regular meetings would be helpful.,5,Positive
INT-0618,The internship was disappointing and I did not learn enough.,2,Negative
INT-0619,I completed my work and received some feedback from my mentor. I would recommend the internship.,3,Neutral
INT-0620,The workload was stressful and the schedule was poorly organized. More regular meetings would be helpful.,2,Negative
INT-0621,The tasks were interesting and helped me build my skills. I would like more opportunities like this.,5,Positive
INT-0622,The tasks were unclear and difficult to understand. I would recommend the internship.,2,Negative
INT-0623,The internship was okay and I completed the assigned tasks. More regular meetings would be helpful.,3,Neutral
INT-0624,The tasks were manageable and the overall experience was normal. More regular meetings would be helpful.,3,Neutral
INT-0625,"The communication with my mentor was clear and helpful. Overall, this was my experience.",5,Positive
INT-0626,The training was insufficient and I needed more help. More regular meetings would be helpful.,2,Negative
INT-0627,"The tasks were unclear and difficult to understand. Overall, this was my experience.",2,Negative
INT-0628,I was happy with the learning opportunities provided. I think the program can be improved.,4,Positive
INT-0629,"The internship did not provide enough practical learning. Overall, this was my experience.",2,Negative
INT-0630,"I received very little feedback about my work. Overall, this was my experience.",2,Negative
INT-0631,The internship was disappointing and I did not learn enough. More regular meetings would be helpful.,2,Negative
INT-0632,"I received good guidance and felt confident completing my tasks. Overall, this was my experience.",5,Positive
INT-0633,The feedback from my supervisor helped me improve quickly. More regular meetings would be helpful.,4,Positive
INT-0634,The training was insufficient and I needed more help.,1,Negative
INT-0635,The internship gave me valuable real world experience. I would recommend the internship.,4,Positive
INT-0636,The company provided a positive learning environment. I would like more opportunities like this.,4,Positive
INT-0637,The team environment was friendly and motivating. I would like more opportunities like this.,5,Positive
INT-0638,"I was unhappy with the lack of communication. Overall, this was my experience.",1,Negative
INT-0639,"The communication with my mentor was clear and helpful. Overall, this was my experience.",4,Positive
INT-0640,I received good guidance and felt confident completing my tasks. I would like more opportunities like this.,4,Positive
INT-0641,"The feedback from my supervisor helped me improve quickly. Overall, this was my experience.",4,Positive
INT-0642,I felt unsupported during most of the internship. I would recommend the internship.,1,Negative
INT-0643,The tasks were unclear and difficult to understand. I think the program can be improved.,2,Negative
INT-0644,The learning opportunities were reasonable. I would like more opportunities like this.,3,Neutral
INT-0645,I completed my work and received some feedback from my mentor. I would like more opportunities like this.,3,Neutral
INT-0646,I enjoyed the projects and gained useful practical skills. I would like more opportunities like this.,4,Positive
INT-0647,"I received very little feedback about my work. Overall, this was my experience.",1,Negative
INT-0648,The tasks were unclear and difficult to understand. I would like more opportunities like this.,1,Negative
INT-0649,The feedback from my supervisor helped me improve quickly. I would recommend the internship.,4,Positive
INT-0650,I received good guidance and felt confident completing my tasks. More regular meetings would be helpful.,5,Positive
INT-0651,The internship gave me valuable real world experience. I would recommend the internship.,5,Positive
INT-0652,The internship did not provide enough practical learning. I think the program can be improved.,2,Negative
INT-0653,The team was fine and the internship met basic expectations.,3,Neutral
INT-0654,"The workload was stressful and the schedule was poorly organized. Overall, this was my experience.",2,Negative
INT-0655,I was unhappy with the lack of communication. More regular meetings would be helpful.,1,Negative
INT-0656,The tasks were interesting and helped me build my skills. I think the program can be improved.,4,Positive
INT-0657,The workload was stressful and the schedule was poorly organized. More regular meetings would be helpful.,1,Negative
INT-0658,There was confusion about responsibilities and deadlines. I think the program can be improved.,2,Negative
INT-0659,I really enjoyed working with the team. I would like more opportunities like this.,5,Positive
INT-0660,"The internship was disappointing and I did not learn enough. Overall, this was my experience.",2,Negative
INT-0661,The workload was acceptable for most of the internship. I would recommend the internship.,3,Neutral
INT-0662,I really enjoyed working with the team. More regular meetings would be helpful.,4,Positive
INT-0663,The communication with my mentor was clear and helpful. I think the program can be improved.,5,Positive
INT-0664,The company provided a positive learning environment. I think the program can be improved.,5,Positive
INT-0665,I enjoyed the projects and gained useful practical skills. I would like more opportunities like this.,4,Positive
INT-0666,I enjoyed the projects and gained useful practical skills.,5,Positive
INT-0667,The internship was excellent and I learned a lot from the team. I would recommend the internship.,5,Positive
INT-0668,The tasks were interesting and helped me build my skills. I would like more opportunities like this.,5,Positive
INT-0669,The workload was acceptable for most of the internship. I would like more opportunities like this.,3,Neutral
INT-0670,My experience was neither very good nor very bad. I would recommend the internship.,3,Neutral
INT-0671,The internship did not provide enough practical learning. More regular meetings would be helpful.,2,Negative
INT-0672,I enjoyed the projects and gained useful practical skills.,4,Positive
INT-0673,The internship was excellent and I learned a lot from the team.,4,Positive
INT-0674,"I received good guidance and felt confident completing my tasks. Overall, this was my experience.",5,Positive
INT-0675,"I felt unsupported during most of the internship. Overall, this was my experience.",1,Negative
INT-0676,I really enjoyed working with the team. I would recommend the internship.,5,Positive
INT-0677,I received very little feedback about my work.,2,Negative
INT-0678,The internship was excellent and I learned a lot from the team. I think the program can be improved.,5,Positive
INT-0679,My experience was neither very good nor very bad. I would recommend the internship.,3,Neutral
INT-0680,The feedback from my supervisor helped me improve quickly. I would recommend the internship.,5,Positive
INT-0681,The feedback from my supervisor helped me improve quickly. I would like more opportunities like this.,4,Positive
INT-0682,"I received good guidance and felt confident completing my tasks. Overall, this was my experience.",4,Positive
INT-0683,"I was unhappy with the lack of communication. Overall, this was my experience.",2,Negative
INT-0684,The experience was average with both good and difficult moments. More regular meetings would be helpful.,3,Neutral
INT-0685,I enjoyed the projects and gained useful practical skills. I would recommend the internship.,5,Positive
INT-0686,"The tasks were unclear and difficult to understand. Overall, this was my experience.",1,Negative
INT-0687,The feedback from my supervisor helped me improve quickly. I would recommend the internship.,4,Positive
INT-0688,I enjoyed the projects and gained useful practical skills. More regular meetings would be helpful.,4,Positive
INT-0689,I enjoyed the projects and gained useful practical skills. I would like more opportunities like this.,5,Positive
INT-0690,The workload was acceptable for most of the internship. I think the program can be improved.,3,Neutral
INT-0691,The team environment was friendly and motivating. I would like more opportunities like this.,4,Positive
INT-0692,The internship was excellent and I learned a lot from the team. I think the program can be improved.,5,Positive
INT-0693,The feedback from my supervisor helped me improve quickly.,4,Positive
INT-0694,The team environment was friendly and motivating. I would recommend the internship.,4,Positive
INT-0695,"My mentor was unavailable and I did not receive enough guidance. Overall, this was my experience.",1,Negative
INT-0696,The feedback from my supervisor helped me improve quickly. I think the program can be improved.,5,Positive
INT-0697,My experience was neither very good nor very bad. I would recommend the internship.,3,Neutral
INT-0698,I enjoyed the projects and gained useful practical skills.,5,Positive
INT-0699,My mentor was supportive and explained tasks clearly. I think the program can be improved.,5,Positive
INT-0700,"The communication with my mentor was clear and helpful. Overall, this was my experience.",4,Positive
INT-0701,"The internship was okay and I completed the assigned tasks. Overall, this was my experience.",3,Neutral
INT-0702,The internship was disappointing and I did not learn enough. I would like more opportunities like this.,2,Negative
INT-0703,"I felt unsupported during most of the internship. Overall, this was my experience.",1,Negative
INT-0704,The training was insufficient and I needed more help. More regular meetings would be helpful.,1,Negative
INT-0705,My mentor was supportive and explained tasks clearly. I think the program can be improved.,4,Positive
INT-0706,I felt unsupported during most of the internship.,2,Negative
INT-0707,I received very little feedback about my work.,2,Negative
INT-0708,The communication with my mentor was clear and helpful. I would like more opportunities like this.,5,Positive
INT-0709,The projects were repetitive and did not improve my skills. I would like more opportunities like this.,2,Negative
INT-0710,The workload was stressful and the schedule was poorly organized. I would recommend the internship.,2,Negative
INT-0711,The learning opportunities were reasonable. I would recommend the internship.,3,Neutral
INT-0712,The company provided a positive learning environment. I think the program can be improved.,4,Positive
INT-0713,The internship was disappointing and I did not learn enough. I would like more opportunities like this.,2,Negative
INT-0714,My mentor was supportive and explained tasks clearly.,5,Positive
INT-0715,The internship gave me valuable real world experience. I think the program can be improved.,5,Positive
INT-0716,I completed my work and received some feedback from my mentor. More regular meetings would be helpful.,3,Neutral
INT-0717,"I really enjoyed working with the team. Overall, this was my experience.",4,Positive
INT-0718,I enjoyed the projects and gained useful practical skills. I would like more opportunities like this.,5,Positive
INT-0719,The learning opportunities were reasonable.,3,Neutral
INT-0720,"The internship was excellent and I learned a lot from the team. Overall, this was my experience.",5,Positive
INT-0721,The training was insufficient and I needed more help. More regular meetings would be helpful.,1,Negative
INT-0722,The internship was excellent and I learned a lot from the team.,5,Positive
INT-0723,I really enjoyed working with the team. More regular meetings would be helpful.,4,Positive
INT-0724,"The company provided a positive learning environment. Overall, this was my experience.",4,Positive
INT-0725,The internship gave me valuable real world experience. I would like more opportunities like this.,5,Positive
INT-0726,The learning opportunities were reasonable. I would like more opportunities like this.,3,Neutral
INT-0727,"The tasks were unclear and difficult to understand. Overall, this was my experience.",1,Negative
INT-0728,The communication with my mentor was clear and helpful. More regular meetings would be helpful.,4,Positive
INT-0729,The internship was okay and I completed the assigned tasks. More regular meetings would be helpful.,3,Neutral
INT-0730,"The projects were repetitive and did not improve my skills. Overall, this was my experience.",1,Negative
INT-0731,My mentor was unavailable and I did not receive enough guidance. I would recommend the internship.,1,Negative
INT-0732,The workload was stressful and the schedule was poorly organized. I would like more opportunities like this.,1,Negative
INT-0733,"My experience was neither very good nor very bad. Overall, this was my experience.",3,Neutral
INT-0734,The company provided a positive learning environment. I would recommend the internship.,5,Positive
INT-0735,The experience was average with both good and difficult moments. I would like more opportunities like this.,3,Neutral
INT-0736,"The workload was acceptable for most of the internship. Overall, this was my experience.",3,Neutral
INT-0737,The team environment was friendly and motivating. I would like more opportunities like this.,4,Positive
INT-0738,I enjoyed the projects and gained useful practical skills. More regular meetings would be helpful.,4,Positive
INT-0739,The internship was okay and I completed the assigned tasks. I would recommend the internship.,3,Neutral
