ticket_id,intern_id,query,category,subject,resolution,status
TKT0179,INT205,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0180,INT028,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0181,INT050,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0182,INT138,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0183,INT036,My required software is not working,Technical,Software access issue,"Check your account permissions and installation requirements first. If the problem continues, contact technical support or your supervisor with the error details.",Resolved
TKT0184,INT047,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0185,INT119,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0186,INT224,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0187,INT020,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0188,INT207,My required software is not working,Technical,Software access issue,"Check your account permissions and installation requirements first. If the problem continues, contact technical support or your supervisor with the error details.",Resolved
TKT0189,INT220,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0190,INT026,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0191,INT167,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0192,INT215,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0193,INT249,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0194,INT238,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0195,INT218,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0196,INT043,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0197,INT125,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0198,INT055,My required software is not working,Technical,Software access issue,"Check your account permissions and installation requirements first. If the problem continues, contact technical support or your supervisor with the error details.",Resolved
TKT0199,INT103,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0200,INT016,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0201,INT098,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0202,INT100,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0203,INT238,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0204,INT201,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0205,INT074,My required software is not working,Technical,Software access issue,"Check your account permissions and installation requirements first. If the problem continues, contact technical support or your supervisor with the error details.",Resolved
TKT0206,INT179,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0207,INT201,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0208,INT170,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0209,INT125,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0210,INT049,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0211,INT056,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0212,INT149,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0213,INT139,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0214,INT192,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0215,INT015,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0216,INT150,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0217,INT129,My required software is not working,Technical,Software access issue,"Check your account permissions and installation requirements first. If the problem continues, contact technical support or your supervisor with the error details.",Resolved
TKT0218,INT219,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0219,INT041,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0220,INT246,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0221,INT021,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0222,INT048,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0223,INT153,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0224,INT173,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0225,INT061,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0226,INT031,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0227,INT146,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0228,INT149,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0229,INT011,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0230,INT021,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0231,INT169,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0232,INT145,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0233,INT081,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0234,INT067,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0235,INT172,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0236,INT081,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0237,INT068,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0238,INT034,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0239,INT166,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0240,INT118,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0241,INT238,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0242,INT240,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0243,INT003,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0244,INT160,My required software is not working,Technical,Software access issue,"Check your account permissions and installation requirements first. If the problem continues, contact technical support or your supervisor with the error details.",Resolved
TKT0245,INT026,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0246,INT138,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0247,INT130,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0248,INT034,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0249,INT090,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0250,INT018,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0251,INT063,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0252,INT073,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0253,INT113,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0254,INT140,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0255,INT078,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0256,INT207,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0257,INT136,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0258,INT171,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0259,INT142,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0260,INT239,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0261,INT027,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0262,INT035,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0263,INT030,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0264,INT028,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0265,INT142,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0266,INT070,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0267,INT155,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0268,INT184,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0269,INT053,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0270,INT163,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0271,INT068,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0272,INT126,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0273,INT232,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0274,INT217,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0275,INT024,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0276,INT109,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0277,INT071,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0278,INT001,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0279,INT198,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0280,INT164,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0281,INT042,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0282,INT114,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0283,INT181,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0284,INT144,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0285,INT029,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0286,INT242,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0287,INT177,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0288,INT039,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0289,INT010,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0290,INT095,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0291,INT142,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0292,INT111,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0293,INT011,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0294,INT094,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0295,INT239,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0296,INT249,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0297,INT011,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0298,INT092,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0299,INT175,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0300,INT171,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0301,INT091,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0302,INT144,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0303,INT224,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0304,INT250,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0305,INT192,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0306,INT237,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0307,INT061,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0308,INT042,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0309,INT208,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0310,INT226,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0311,INT007,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0312,INT189,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0313,INT086,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0314,INT239,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0315,INT206,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0316,INT222,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0317,INT208,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0318,INT069,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0319,INT202,Where do I upload my completed task?,Submission,Task submission question,"Complete the task according to the instructions, upload the required files or repository link, and submit it through the designated task platform.",Resolved
TKT0320,INT028,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0321,INT224,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0322,INT220,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0323,INT057,My required software is not working,Technical,Software access issue,"Check your account permissions and installation requirements first. If the problem continues, contact technical support or your supervisor with the error details.",Resolved
TKT0324,INT210,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0325,INT118,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0326,INT079,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0327,INT204,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0328,INT059,Who should I contact about an HR issue?,HR,HR support request,Contact the HR representative or internship coordinator assigned to your program using the official contact details.,Resolved
TKT0329,INT007,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0330,INT050,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0331,INT085,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0332,INT222,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0333,INT248,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0334,INT072,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0335,INT165,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0336,INT103,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0337,INT216,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0338,INT085,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0339,INT030,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0340,INT249,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0341,INT046,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0342,INT247,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0343,INT010,I do not understand what my assigned task requires,Tasks,Task clarification,Assigned tasks are normally available in the project or task-management portal. Check your dashboard and task notifications regularly.,Resolved
TKT0344,INT153,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0345,INT089,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0346,INT202,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0347,INT112,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0348,INT131,When will I receive my internship certificate?,Certificate,Certificate request,Complete the internship requirements and follow the organization's certificate request or issuance process. HR or the internship coordinator can confirm eligibility.,Resolved
TKT0349,INT099,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
TKT0350,INT148,Where can I find the training material?,Training,Training resource request,"Check the training portal, shared drive, learning-management system, or links provided by your mentor or HR.",Resolved
TKT0351,INT066,I need more time to finish my assignment,Deadline,Deadline extension request,"Tell your supervisor before the deadline, explain the reason, provide your current progress, and ask whether an extension or revised plan is possible.",Resolved
TKT0352,INT182,I cannot log into the internship portal,General,Portal login issue,"Use the internship portal link provided by HR. Sign in with your registered email and password. If you cannot log in, contact the internship support team.",Resolved
TKT0353,INT001,I need to request leave,Leave,Leave request,Submit a leave request through the organization's approved process and notify your supervisor in advance whenever possible.,Resolved
TKT0354,INT237,How do I push my project to GitHub?,Git,Git submission question,"Create or update the assigned repository, commit your changes with a clear message, push them to the required branch, and follow the project's submission instructions.",Resolved
TKT0355,INT138,My internet stopped working while I was working remotely,Remote Work,Connectivity issue,"Notify your supervisor or team as soon as possible, explain the interruption, and resume work when connectivity is restored.",Resolved
TKT0356,INT185,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0357,INT189,What are the internship working hours?,Working Hours,Schedule question,"Follow the working hours communicated by your internship coordinator or supervisor. If your schedule is unclear, confirm it with HR or your supervisor.",Resolved
TKT0358,INT051,I want feedback about my recent work,Feedback,Performance feedback,Ask your mentor or supervisor for feedback during scheduled reviews or after completing important tasks. Use the feedback to improve future work.,Resolved
TKT0359,INT111,How can I contact my mentor?,Mentoring,Mentor contact request,"Use the official communication channel provided by the internship program, such as email, Teams, Slack, or the assigned project channel.",Resolved
TKT0360,INT243,I forgot to mark attendance today,Attendance,Missed attendance,Open the attendance section of the internship portal and submit your attendance for the current working day before the daily deadline.,Resolved
